,jurisdiction,week,first_dose,second_dose
261,Delaware,2021-02-08,8800,8800
262,District of Columbia,2021-02-08,6600,6600
263,Federal Entities,2021-02-08,481400,481400
264,Florida,2021-02-08,192500,192500
265,Georgia,2021-02-08,91300,91300
266,Guam,2021-02-08,0,0
267,Hawaii,2021-02-08,13100,13100
268,Idaho,2021-02-08,14700,14700
269,Illinois,2021-02-08,91300,91300
270,Indiana,2021-02-08,59300,59300
271,Iowa,2021-02-08,28200,28200
272,Kansas,2021-02-08,25700,25700
273,Kentucky,2021-02-08,40200,40200
274,Louisiana,2021-02-08,41600,41600
275,Maine,2021-02-08,12700,12700
276,Mariana Islands,2021-02-08,0,0
277,Marshall Islands,2021-02-08,0,0
278,Maryland,2021-02-08,54600,54600
279,Massachusetts,2021-02-08,63800,63800
280,Michigan,2021-02-08,90900,90900
281,Micronesia,2021-02-08,0,0
282,Minnesota,2021-02-08,49700,49700
283,Mississippi,2021-02-08,26600,26600
284,Missouri,2021-02-08,55100,55100
285,Montana,2021-02-08,9600,9600
286,Nebraska,2021-02-08,17000,17000
287,Nevada,2021-02-08,26400,26400
288,New Hampshire,2021-02-08,12700,12700
289,New Jersey,2021-02-08,80900,80900
290,New Mexico,2021-02-08,19000,19000
291,New York,2021-02-08,103000,103000
292,New York City,2021-02-08,78200,78200
293,North Carolina,2021-02-08,92000,92000
294,North Dakota,2021-02-08,6900,6900
295,Ohio,2021-02-08,105600,105600
296,Oklahoma,2021-02-08,34700,34700
297,Oregon,2021-02-08,37800,37800
298,Palau,2021-02-08,0,0
299,Pennsylvania,2021-02-08,104000,104000
300,Philadelphia,2021-02-08,14400,14400
301,Puerto Rico,2021-02-08,31600,31600
302,Rhode Island,2021-02-08,10000,10000
303,South Carolina,2021-02-08,45200,45200
304,South Dakota,2021-02-08,7700,7700
305,Tennessee,2021-02-08,60300,60300
306,Texas,2021-02-08,241000,241000
307,U.S. Virgin Islands,2021-02-08,1000,1000
308,Utah,2021-02-08,25100,25100
309,Vermont,2021-02-08,6000,6000
310,Virginia,2021-02-08,76600,76600
311,Washington,2021-02-08,67000,67000
312,West Virginia,2021-02-08,17100,17100
313,Wisconsin,2021-02-08,52900,52900
314,Wyoming,2021-02-08,5300,5300
315,Alabama,2021-02-01,40400,40400
316,Alaska,2021-02-01,32300,32300
317,American Samoa,2021-02-01,3200,0
318,Arizona,2021-02-01,57200,57200
319,Arkansas,2021-02-01,24500,24500
320,California,2021-02-01,322000,322000
321,Chicago,2021-02-01,22400,22400
322,Colorado,2021-02-01,45800,45800
323,Connecticut,2021-02-01,30300,30300
324,Delaware,2021-02-01,8000,8000
325,District of Columbia,2021-02-01,6100,6100
326,Federal Entities,2021-02-01,151180,151800
327,Florida,2021-02-01,176100,176100
328,Georgia,2021-02-01,83500,83500
329,Guam,2021-02-01,9200,0
330,Hawaii,2021-02-01,12000,12000
331,Idaho,2021-02-01,13400,13400
332,Illinois,2021-02-01,83600,83600
333,Indiana,2021-02-01,54300,54300
334,Iowa,2021-02-01,25800,25800
335,Kansas,2021-02-01,23500,23500
336,Kentucky,2021-02-01,36700,36700
337,Louisiana,2021-02-01,38100,38100
338,Maine,2021-02-01,11600,11600
339,Mariana Islands,2021-02-01,3200,0
340,Marshall Islands,2021-02-01,6600,0
341,Maryland,2021-02-01,49900,49900
342,Massachusetts,2021-02-01,58400,58400
343,Michigan,2021-02-01,83100,83100
344,Micronesia,2021-02-01,9400,0
345,Minnesota,2021-02-01,45500,45500
346,Mississippi,2021-02-01,24300,24300
347,Missouri,2021-02-01,50400,50400
348,Montana,2021-02-01,8800,8800
349,Nebraska,2021-02-01,15500,15500
350,Nevada,2021-02-01,24100,24100
351,New Hampshire,2021-02-01,11600,11600
352,New Jersey,2021-02-01,74000,74000
353,New Mexico,2021-02-01,17300,17300
354,New York,2021-02-01,94200,94200
355,New York City,2021-02-01,71500,71500
356,North Carolina,2021-02-01,84200,84200
357,North Dakota,2021-02-01,6400,6400
358,Ohio,2021-02-01,96600,96600
359,Oklahoma,2021-02-01,31700,31700
360,Oregon,2021-02-01,34600,34600
361,Palau,2021-02-01,2800,0
362,Pennsylvania,2021-02-01,95200,95200
363,Philadelphia,2021-02-01,13200,13200
364,Puerto Rico,2021-02-01,28900,28900
365,Rhode Island,2021-02-01,9100,9100
366,South Carolina,2021-02-01,41400,41400
367,South Dakota,2021-02-01,7000,7000
368,Tennessee,2021-02-01,55200,55200
369,Texas,2021-02-01,220500,220500
370,U.S. Virgin Islands,2021-02-01,900,900
371,Utah,2021-02-01,22900,22900
372,Vermont,2021-02-01,5500,5500
373,Virginia,2021-02-01,70100,70100
374,Washington,2021-02-01,61300,61300
375,West Virginia,2021-02-01,15600,15600
376,Wisconsin,2021-02-01,48300,48300
377,Wyoming,2021-02-01,4800,4800
378,Alabama,2021-01-25,30600,30600
379,Alaska,2021-01-25,0,0
380,American Samoa,2021-01-25,0,0
381,Arizona,2021-01-25,43400,43400
382,Arkansas,2021-01-25,18600,18600
383,California,2021-01-25,244000,244000
384,Chicago,2021-01-25,17000,17000
385,Colorado,2021-01-25,34700,34700
386,Connecticut,2021-01-25,23000,23000
387,Delaware,2021-01-25,6100,6100
388,District of Columbia,2021-01-25,4600,4600
389,Federal Entities,2021-01-25,105300,105300
390,Florida,2021-01-25,133500,133500
391,Georgia,2021-01-25,63300,63300
392,Guam,2021-01-25,0,0
393,Hawaii,2021-01-25,9100,9100
394,Idaho,2021-01-25,10200,10200
395,Illinois,2021-01-25,63300,63300
396,Indiana,2021-01-25,41100,41100
397,Iowa,2021-01-25,19500,19500
398,Kansas,2021-01-25,17800,17800
399,Kentucky,2021-01-25,27900,27900
400,Louisiana,2021-01-25,28900,28900
401,Maine,2021-01-25,8800,8800
402,Mariana Islands,2021-01-25,0,0
403,Marshall Islands,2021-01-25,0,0
404,Maryland,2021-01-25,37800,37800
405,Massachusetts,2021-01-25,44300,44300
406,Michigan,2021-01-25,63000,63000
407,Micronesia,2021-01-25,0,0
408,Minnesota,2021-01-25,34500,34500
409,Mississippi,2021-01-25,18500,18500
410,Missouri,2021-01-25,38200,38200
411,Montana,2021-01-25,6700,6700
412,Nebraska,2021-01-25,11800,11800
413,Nevada,2021-01-25,18300,18300
414,New Hampshire,2021-01-25,8800,8800
415,New Jersey,2021-01-25,56100,56100
416,New Mexico,2021-01-25,13200,13200
417,New York,2021-01-25,71400,71400
418,New York City,2021-01-25,54200,54200
419,North Carolina,2021-01-25,63800,63800
420,North Dakota,2021-01-25,4800,4800
421,Ohio,2021-01-25,73200,73200
422,Oklahoma,2021-01-25,24100,24100
423,Oregon,2021-01-25,26200,26200
424,Palau,2021-01-25,0,0
425,Pennsylvania,2021-01-25,72100,72100
426,Philadelphia,2021-01-25,10000,10000
427,Puerto Rico,2021-01-25,21900,21900
428,Rhode Island,2021-01-25,6900,6900
429,South Carolina,2021-01-25,31400,31400
430,South Dakota,2021-01-25,5300,5300
431,Tennessee,2021-01-25,41800,41800
432,Texas,2021-01-25,167100,167100
433,U.S. Virgin Islands,2021-01-25,700,700
434,Utah,2021-01-25,17400,17400
435,Vermont,2021-01-25,4200,4200
436,Virginia,2021-01-25,53100,53100
437,Washington,2021-01-25,46500,46500
438,West Virginia,2021-01-25,11900,11900
439,Wisconsin,2021-01-25,36700,36700
440,Wyoming,2021-01-25,3700,3700
441,Alabama,2021-01-18,30600,30600
442,Alaska,2021-01-18,0,0
443,American Samoa,2021-01-18,0,0
444,Arizona,2021-01-18,43400,43400
445,Arkansas,2021-01-18,18600,18600
446,California,2021-01-18,244000,244000
447,Chicago,2021-01-18,17000,17000
448,Colorado,2021-01-18,34700,34700
449,Connecticut,2021-01-18,23000,23000
450,Delaware,2021-01-18,6100,6100
451,District of Columbia,2021-01-18,4600,4600
452,Federal Entities,2021-01-18,105000,105000
453,Florida,2021-01-18,133500,133500
454,Georgia,2021-01-18,63300,63300
455,Guam,2021-01-18,0,0
456,Hawaii,2021-01-18,9100,9100
457,Idaho,2021-01-18,10200,10200
458,Illinois,2021-01-18,63300,63300
459,Indiana,2021-01-18,41100,41100
460,Iowa,2021-01-18,19500,19500
461,Kansas,2021-01-18,17800,17800
462,Kentucky,2021-01-18,27900,27900
463,Louisiana,2021-01-18,28900,28900
464,Maine,2021-01-18,8800,8800
465,Mariana Islands,2021-01-18,0,0
466,Marshall Islands,2021-01-18,0,0
467,Maryland,2021-01-18,37800,37800
468,Massachusetts,2021-01-18,44300,44300
469,Michigan,2021-01-18,63000,63000
470,Micronesia,2021-01-18,0,0
471,Minnesota,2021-01-18,34500,34500
472,Mississippi,2021-01-18,18500,18500
473,Missouri,2021-01-18,38200,38200
474,Montana,2021-01-18,6700,6700
475,Nebraska,2021-01-18,11800,11800
476,Nevada,2021-01-18,18300,18300
477,New Hampshire,2021-01-18,8800,8800
478,New Jersey,2021-01-18,56100,56100
479,New Mexico,2021-01-18,13200,13200
480,New York,2021-01-18,71400,71400
481,New York City,2021-01-18,54200,54200
482,North Carolina,2021-01-18,63800,63800
483,North Dakota,2021-01-18,4800,4800
484,Ohio,2021-01-18,73200,73200
485,Oklahoma,2021-01-18,24100,24100
486,Oregon,2021-01-18,26200,26200
487,Palau,2021-01-18,0,0
488,Pennsylvania,2021-01-18,72100,72100
489,Philadelphia,2021-01-18,10000,10000
490,Puerto Rico,2021-01-18,21900,21900
491,Rhode Island,2021-01-18,6900,6900
492,South Carolina,2021-01-18,31400,31400
493,South Dakota,2021-01-18,5300,5300
494,Tennessee,2021-01-18,41800,41800
495,Texas,2021-01-18,167100,167100
496,U.S. Virgin Islands,2021-01-18,700,700
497,Utah,2021-01-18,17400,17400
498,Vermont,2021-01-18,4200,4200
499,Virginia,2021-01-18,53100,53100
500,Washington,2021-01-18,46500,46500
501,West Virginia,2021-01-18,11900,11900
502,Wisconsin,2021-01-18,36700,36700
503,Wyoming,2021-01-18,3700,3700
504,Alabama,2021-01-11,29100,29100
505,Alaska,2021-01-11,0,0
506,American Samoa,2021-01-11,0,0
507,Arizona,2021-01-11,41300,41300
508,Arkansas,2021-01-11,17700,17700
509,California,2021-01-11,232300,232300
510,Chicago,2021-01-11,16200,16200
511,Colorado,2021-01-11,33000,33000
512,Connecticut,2021-01-11,21900,21900
513,Delaware,2021-01-11,5800,5800
514,District of Columbia,2021-01-11,4400,4400
515,Federal Entities,2021-01-11,99900,99900
516,Florida,2021-01-11,127100,127100
517,Georgia,2021-01-11,60200,60200
518,Guam,2021-01-11,0,0
519,Hawaii,2021-01-11,8700,8700
520,Idaho,2021-01-11,9700,9700
521,Illinois,2021-01-11,60300,60300
522,Indiana,2021-01-11,39200,39200
523,Iowa,2021-01-11,18600,18600
524,Kansas,2021-01-11,17000,17000
525,Kentucky,2021-01-11,26500,26500
526,Louisiana,2021-01-11,27500,27500
527,Maine,2021-01-11,8400,8400
528,Mariana Islands,2021-01-11,0,0
529,Marshall Islands,2021-01-11,0,0
530,Maryland,2021-01-11,36000,36000
531,Massachusetts,2021-01-11,42100,42100
532,Michigan,2021-01-11,60000,60000
533,Micronesia,2021-01-11,0,0
534,Minnesota,2021-01-11,32900,32900
535,Mississippi,2021-01-11,17600,17600
536,Missouri,2021-01-11,36400,36400
537,Montana,2021-01-11,6400,6400
538,Nebraska,2021-01-11,11200,11200
539,Nevada,2021-01-11,17400,17400
540,New Hampshire,2021-01-11,8400,8400
541,New Jersey,2021-01-11,53400,53400
542,New Mexico,2021-01-11,12500,12500
543,New York,2021-01-11,68000,68000
544,New York City,2021-01-11,51600,51600
545,North Carolina,2021-01-11,60800,60800
546,North Dakota,2021-01-11,4600,4600
547,Ohio,2021-01-11,69700,69700
548,Oklahoma,2021-01-11,22900,22900
549,Oregon,2021-01-11,25000,25000
550,Palau,2021-01-11,0,0
551,Pennsylvania,2021-01-11,68700,68700
552,Philadelphia,2021-01-11,9500,9500
553,Puerto Rico,2021-01-11,20900,20900
554,Rhode Island,2021-01-11,6600,6600
555,South Carolina,2021-01-11,29900,29900
556,South Dakota,2021-01-11,5100,5100
557,Tennessee,2021-01-11,39800,39800
558,Texas,2021-01-11,159100,159100
559,U.S. Virgin Islands,2021-01-11,700,700
560,Utah,2021-01-11,16600,16600
561,Vermont,2021-01-11,4000,4000
562,Virginia,2021-01-11,50600,50600
563,Washington,2021-01-11,44300,44300
564,West Virginia,2021-01-11,11300,11300
565,Wisconsin,2021-01-11,34900,34900
566,Wyoming,2021-01-11,3500,3500
567,Alabama,2021-01-04,29000,29000
568,Alaska,2021-01-04,25600,25600
569,American Samoa,2021-01-04,2400,0
570,Arizona,2021-01-04,41100,41100
571,Arkansas,2021-01-04,17600,17600
572,California,2021-01-04,231400,231400
573,Chicago,2021-01-04,16100,16100
574,Colorado,2021-01-04,32900,32900
575,Connecticut,2021-01-04,21800,21800
576,Delaware,2021-01-04,5800,5800
