,jurisdiction,week,first_dose,second_dose
333,Indiana,2021-02-08,40950,40950
334,Iowa,2021-02-08,19500,19500
335,Kansas,2021-02-08,18525,18525
336,Kentucky,2021-02-08,28275,28275
337,Louisiana,2021-02-08,29250,29250
338,Maine,2021-02-08,8775,8775
339,Mariana Islands,2021-02-08,0,0
340,Marshall Islands,2021-02-08,0,0
341,Maryland,2021-02-08,38025,38025
342,Massachusetts,2021-02-08,43875,43875
343,Michigan,2021-02-08,62400,62400
344,Micronesia,2021-02-08,0,0
345,Minnesota,2021-02-08,34125,34125
346,Mississippi,2021-02-08,18525,18525
347,Missouri,2021-02-08,38025,38025
348,Montana,2021-02-08,6825,6825
349,Nebraska,2021-02-08,11700,11700
350,Nevada,2021-02-08,18525,18525
351,New Hampshire,2021-02-08,8775,8775
352,New Jersey,2021-02-08,55575,55575
353,New Mexico,2021-02-08,13650,13650
354,New York,2021-02-08,71175,71175
355,New York City,2021-02-08,53625,53625
356,North Carolina,2021-02-08,63375,63375
357,North Dakota,2021-02-08,4875,4875
358,Ohio,2021-02-08,73125,73125
359,Oklahoma,2021-02-08,24375,24375
360,Oregon,2021-02-08,26325,26325
361,Palau,2021-02-08,0,0
362,Pennsylvania,2021-02-08,71175,71175
363,Philadelphia,2021-02-08,10725,10725
364,Puerto Rico,2021-02-08,22425,22425
365,Rhode Island,2021-02-08,6825,6825
366,South Carolina,2021-02-08,31200,31200
367,South Dakota,2021-02-08,5850,5850
368,Tennessee,2021-02-08,41925,41925
369,Texas,2021-02-08,165750,165750
370,U.S. Virgin Islands,2021-02-08,975,975
371,Utah,2021-02-08,17550,17550
372,Vermont,2021-02-08,4875,4875
373,Virginia,2021-02-08,52650,52650
374,Washington,2021-02-08,46800,46800
375,West Virginia,2021-02-08,11700,11700
376,Wisconsin,2021-02-08,37050,37050
377,Wyoming,2021-02-08,3900,3900
378,Alabama,2021-02-01,30225,30225
379,Alaska,2021-02-01,27300,27300
380,American Samoa,2021-02-01,7800,0
381,Arizona,2021-02-01,42900,42900
382,Arkansas,2021-02-01,18525,18525
383,California,2021-02-01,240825,240825
384,Chicago,2021-02-01,17550,17550
385,Colorado,2021-02-01,34125,34125
386,Connecticut,2021-02-01,23400,23400
387,Delaware,2021-02-01,6825,6825
388,District of Columbia,2021-02-01,4875,4875
389,Federal Entities,2021-02-01,119925,104325
390,Florida,2021-02-01,131625,131625
391,Georgia,2021-02-01,62400,62400
392,Guam,2021-02-01,7800,0
393,Hawaii,2021-02-01,9750,9750
394,Idaho,2021-02-01,10725,10725
395,Illinois,2021-02-01,62400,62400
396,Indiana,2021-02-01,40950,40950
397,Iowa,2021-02-01,19500,19500
398,Kansas,2021-02-01,17550,17550
399,Kentucky,2021-02-01,28275,28275
400,Louisiana,2021-02-01,29250,29250
401,Maine,2021-02-01,8775,8775
402,Mariana Islands,2021-02-01,7800,0
403,Marshall Islands,2021-02-01,0,0
404,Maryland,2021-02-01,38025,38025
405,Massachusetts,2021-02-01,43875,43875
406,Michigan,2021-02-01,62400,62400
407,Micronesia,2021-02-01,0,0
408,Minnesota,2021-02-01,34125,34125
409,Mississippi,2021-02-01,18525,18525
410,Missouri,2021-02-01,38025,38025
411,Montana,2021-02-01,6825,6825
412,Nebraska,2021-02-01,11700,11700
413,Nevada,2021-02-01,18525,18525
414,New Hampshire,2021-02-01,8775,8775
415,New Jersey,2021-02-01,55575,55575
416,New Mexico,2021-02-01,13650,13650
417,New York,2021-02-01,70200,70200
418,New York City,2021-02-01,53625,53625
419,North Carolina,2021-02-01,63375,63375
420,North Dakota,2021-02-01,4875,4875
421,Ohio,2021-02-01,72150,72150
422,Oklahoma,2021-02-01,24375,24375
423,Oregon,2021-02-01,26325,26325
424,Palau,2021-02-01,0,0
425,Pennsylvania,2021-02-01,71175,71175
426,Philadelphia,2021-02-01,10725,10725
427,Puerto Rico,2021-02-01,22425,22425
428,Rhode Island,2021-02-01,6825,6825
429,South Carolina,2021-02-01,31200,31200
430,South Dakota,2021-02-01,5850,5850
431,Tennessee,2021-02-01,41925,41925
432,Texas,2021-02-01,164775,164775
433,U.S. Virgin Islands,2021-02-01,975,975
434,Utah,2021-02-01,17550,17550
435,Vermont,2021-02-01,4875,4875
436,Virginia,2021-02-01,52650,52650
437,Washington,2021-02-01,45825,45825
438,West Virginia,2021-02-01,11700,11700
439,Wisconsin,2021-02-01,36075,36075
440,Wyoming,2021-02-01,3900,3900
441,Alabama,2021-01-25,30225,30225
442,Alaska,2021-01-25,0,0
443,American Samoa,2021-01-25,0,0
444,Arizona,2021-01-25,42900,42900
445,Arkansas,2021-01-25,18525,18525
446,California,2021-01-25,241800,241800
447,Chicago,2021-01-25,17550,17550
448,Colorado,2021-01-25,35100,35100
449,Connecticut,2021-01-25,23400,23400
450,Delaware,2021-01-25,6825,6825
451,District of Columbia,2021-01-25,4875,4875
452,Federal Entities,2021-01-25,105300,105300
453,Florida,2021-01-25,132600,132600
454,Georgia,2021-01-25,63375,63375
455,Guam,2021-01-25,0,0
456,Hawaii,2021-01-25,9750,9750
457,Idaho,2021-01-25,10725,10725
458,Illinois,2021-01-25,63375,63375
459,Indiana,2021-01-25,40950,40950
460,Iowa,2021-01-25,19500,19500
461,Kansas,2021-01-25,18525,18525
462,Kentucky,2021-01-25,28275,28275
463,Louisiana,2021-01-25,29250,29250
464,Maine,2021-01-25,8775,8775
465,Mariana Islands,2021-01-25,0,0
466,Marshall Islands,2021-01-25,0,0
467,Maryland,2021-01-25,38025,38025
468,Massachusetts,2021-01-25,43875,43875
469,Michigan,2021-01-25,62400,62400
470,Micronesia,2021-01-25,0,0
471,Minnesota,2021-01-25,34125,34125
472,Mississippi,2021-01-25,18525,18525
473,Missouri,2021-01-25,38025,38025
474,Montana,2021-01-25,6825,6825
475,Nebraska,2021-01-25,11700,11700
476,Nevada,2021-01-25,18525,18525
477,New Hampshire,2021-01-25,8775,8775
478,New Jersey,2021-01-25,55575,55575
479,New Mexico,2021-01-25,13650,13650
480,New York,2021-01-25,71175,71175
481,New York City,2021-01-25,53625,53625
482,North Carolina,2021-01-25,63375,63375
483,North Dakota,2021-01-25,4875,4875
484,Ohio,2021-01-25,73125,73125
485,Oklahoma,2021-01-25,24375,24375
486,Oregon,2021-01-25,26325,26325
487,Palau,2021-01-25,0,0
488,Pennsylvania,2021-01-25,71175,71175
489,Philadelphia,2021-01-25,10725,10725
490,Puerto Rico,2021-01-25,22425,22425
491,Rhode Island,2021-01-25,6825,6825
492,South Carolina,2021-01-25,31200,31200
493,South Dakota,2021-01-25,5850,5850
494,Tennessee,2021-01-25,41925,41925
495,Texas,2021-01-25,165750,165750
496,U.S. Virgin Islands,2021-01-25,975,975
497,Utah,2021-01-25,17550,17550
498,Vermont,2021-01-25,4875,4875
499,Virginia,2021-01-25,52650,52650
500,Washington,2021-01-25,46800,46800
501,West Virginia,2021-01-25,11700,11700
502,Wisconsin,2021-01-25,37050,37050
503,Wyoming,2021-01-25,3900,3900
504,Alabama,2021-01-18,30225,30225
505,Alaska,2021-01-18,0,0
506,American Samoa,2021-01-18,0,0
507,Arizona,2021-01-18,42900,42900
508,Arkansas,2021-01-18,18525,18525
509,California,2021-01-18,241800,241800
510,Chicago,2021-01-18,17550,17550
511,Colorado,2021-01-18,35100,35100
512,Connecticut,2021-01-18,23400,23400
513,Delaware,2021-01-18,6825,6825
514,District of Columbia,2021-01-18,4875,4875
515,Federal Entities,2021-01-18,105300,105300
516,Florida,2021-01-18,132600,132600
517,Georgia,2021-01-18,63375,63375
518,Guam,2021-01-18,0,0
519,Hawaii,2021-01-18,9750,9750
520,Idaho,2021-01-18,10725,10725
521,Illinois,2021-01-18,63375,63375
522,Indiana,2021-01-18,40950,40950
523,Iowa,2021-01-18,19500,19500
524,Kansas,2021-01-18,18525,18525
525,Kentucky,2021-01-18,28275,28275
526,Louisiana,2021-01-18,29250,29250
527,Maine,2021-01-18,8775,8775
528,Mariana Islands,2021-01-18,0,0
529,Marshall Islands,2021-01-18,0,0
530,Maryland,2021-01-18,38025,38025
531,Massachusetts,2021-01-18,43875,43875
532,Michigan,2021-01-18,62400,62400
533,Micronesia,2021-01-18,0,0
534,Minnesota,2021-01-18,34125,34125
535,Mississippi,2021-01-18,18525,18525
536,Missouri,2021-01-18,38025,38025
537,Montana,2021-01-18,6825,6825
538,Nebraska,2021-01-18,11700,11700
539,Nevada,2021-01-18,18525,18525
540,New Hampshire,2021-01-18,8775,8775
541,New Jersey,2021-01-18,55575,55575
542,New Mexico,2021-01-18,13650,13650
543,New York,2021-01-18,71175,71175
544,New York City,2021-01-18,53625,53625
545,North Carolina,2021-01-18,63375,63375
546,North Dakota,2021-01-18,4875,4875
547,Ohio,2021-01-18,73125,73125
548,Oklahoma,2021-01-18,24375,24375
549,Oregon,2021-01-18,26325,26325
550,Palau,2021-01-18,0,0
551,Pennsylvania,2021-01-18,71175,71175
552,Philadelphia,2021-01-18,10725,10725
553,Puerto Rico,2021-01-18,22425,22425
554,Rhode Island,2021-01-18,6825,6825
555,South Carolina,2021-01-18,31200,31200
556,South Dakota,2021-01-18,5850,5850
557,Tennessee,2021-01-18,41925,41925
558,Texas,2021-01-18,165750,165750
559,U.S. Virgin Islands,2021-01-18,975,975
560,Utah,2021-01-18,17550,17550
561,Vermont,2021-01-18,4875,4875
562,Virginia,2021-01-18,52650,52650
563,Washington,2021-01-18,46800,46800
564,West Virginia,2021-01-18,11700,11700
565,Wisconsin,2021-01-18,37050,37050
566,Wyoming,2021-01-18,3900,3900
567,Alabama,2021-01-11,29250,29250
568,Alaska,2021-01-11,0,0
569,American Samoa,2021-01-11,0,0
570,Arizona,2021-01-11,41925,41925
571,Arkansas,2021-01-11,18525,18525
572,California,2021-01-11,233025,233025
573,Chicago,2021-01-11,16575,16575
574,Colorado,2021-01-11,33150,33150
575,Connecticut,2021-01-11,22425,22425
576,Delaware,2021-01-11,5850,5850
577,District of Columbia,2021-01-11,4875,4875
578,Federal Entities,2021-01-11,102375,102375
579,Florida,2021-01-11,127725,127725
580,Georgia,2021-01-11,60450,60450
581,Guam,2021-01-11,0,0
582,Hawaii,2021-01-11,8775,8775
583,Idaho,2021-01-11,9750,9750
584,Illinois,2021-01-11,60450,60450
585,Indiana,2021-01-11,39975,39975
586,Iowa,2021-01-11,19500,19500
587,Kansas,2021-01-11,17550,17550
588,Kentucky,2021-01-11,27300,27300
589,Louisiana,2021-01-11,28275,28275
